Regulated Contaminant Name,EPA Safe Drinking Limit,Unit,Description,Link,,
Conductivity,,,"Conductivity is a measure of the ability of water to pass an electrical current. Because dissolved salts and other inorganic chemicals conduct electrical current, conductivity increases as salinity increases. Significant changes (usually increases) in conductivity may indicate that a discharge or some other source of disturbance has decreased the relative condition or health of the water body and its associated biota. The  EPA does not currently set a limit for conductivity. (Source: EPA. https://www.epa.gov/national-aquatic-resource-surveys/indicators-conductivity)",https://www.epa.gov/national-aquatic-resource-surveys/indicators-conductivity,,
Copper,1.3,mg/L,"Copper comes from the corrosion of household plumbing systems and the erosion of natural deposits. Short term exposure can cause gastrointestinal disease, and long term exosure can cause liver or kidney damage. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Escherichia coli,5,%,Coliforms are naturally present in the environment as well as feces. Fecal coliforms and E. coli only come from human and animal fecal waste. They are not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations),https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations,,
Fluoride,4,mg/L,"Flouride comes from the erosion of natual deposits, as well as discharge from fertilizer and aluminium factories. It can cause bone disease, and children may get mottled teeth. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
"Hardness, Ca, Mg",,,"The EPA has not set a legal limit or standard for hardness in water. This is primarily because the constituents that contribute to hardness (generally calcium and magnesium ions) are not toxic; that is, they do not cause harmful health effects. Instead, there is a generally accepted division of water into categories of:

Soft: 0-60 milligrams per liter (mg/L) as calcium carbonate
Moderately hard: 61-120 mg/L as calcium carbonate
Hard: 121-180 mg/L as calcium carbonate
Very hard: more than 180 mg/L as calcium carbonate",https://www.usgs.gov/faqs/do-you-have-information-about-water-hardness-united-states,,
Iron,0.3,mg/L,"Iron is a common element in the earth's crust. Minerals containing iron dissolve over time and are released into groundwater. Occasionally iron pipes may be a source of iron in water. Iron bacteria are non-harmful bacteria that can lead to unpleasant tastes, smells, or stains from the water. Iron is an essential nutrient. The United States Environmental Protection Agency (US-EPA) considers iron a secondary water contaminant, with no direct threat to human health. Elevated levels of iron can disrupt disinfectants like chlorine, which may allow harmful bacteria to grow. (Source: KDHE. https://www.kdhe.ks.gov/DocumentCenter/View/14123/Iron-in-Private-Water-Wells-PDF?bidId=#:~:text=The%20United%20States%20Environmental%20Protection,allow%20harmful%20bacteria%20to%20grow and EPA. https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
Kjeldahl nitrogen,,,,,,
Lead,0.010,mg/L,"Lead comes from the corrosion of household plumbing systems, as well as the erosion of natural deposits. In infants and children, lead can cause delays in physical or mental development, and children could show slight deficits in attention span and learning abilities. In adults it can cause kidney problems or high blood pressure. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Magnesium,,,"Magnesium is not currently subject to drinking water regulation. (Source: USGS. https://www.usgs.gov/faqs/do-you-have-information-about-water-hardness-united-states#:~:text=It%20is%20important%20to%20note,not%20cause%20harmful%20health%20effects)","https://www.usgs.gov/faqs/do-you-have-information-about-water-hardness-united-states#:~:text=It%20is%20important%20to%20note,not%20cause%20harmful%20health%20effects.",,
Manganese,0.05,mg/L,"Manganese is a naturally-occurring element that can be found ubiquitously in the air, soil, and water. Manganese is an essential nutrient for humans and animals. Adverse health effects can be caused by inadequate intake or over exposure. Manganese deficiency in humans is thought to be rare because manganese is present in many common foods. (Source: EPA. https://www.epa.gov/sites/default/files/2014-09/documents/support_cc1_magnese_dwreport_0.pdf)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
Metolachlor,,,"Metolachlor belongs to the chloroacetanilide class of herbicides and works through the inhibition of protein synthesis. It is used on a variety of crops, including corn, soybeans, and sorghum, as well as for hedgerows and landscape plantings (USEPA, 1995). Metolachlor is often used in formulations with other pesticides (particularly herbicides) including atrazine, cyanazine, and fluometuron (Extoxnet, 1993). The EPA does not currently set a limit for Metolachlor. (Source: EPA. https://www.epa.gov/sites/default/files/2014-09/documents/chapter_12_metolachlor.pdf)",https://www.epa.gov/sites/default/files/2014-09/documents/chapter_12_metolachlor.pdf,,
Molybdenum,,,Molybdenum is not currently subject to drinking water regulation. (Source: EPA. https://www.epa.gov/ccl),https://www.epa.gov/ccl,,
Nickel,,,The EPA does not explicitly have a maximum contaminant level for nickel. (Source: EPA. https://www.epa.gov/sites/default/files/2016-09/documents/nickle-compounds.pdf),https://www.epa.gov/sites/default/files/2016-09/documents/nickle-compounds.pdf,,
Nitrate,10,mg/L,"Nitrates come from runoff from fertilizer use, leaking from septic tanks, sewage, and the erosion of natural deposits. Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Nitrite,1,mg/L,"Nitrites come from runoff from fertilizer use, leaking from septic tanks, sewage, and the erosion of natural deposits. Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Oxygen,5,mg/L,"Dissolved oxygen (DO) is the amount of oxygen that is present in water. Water bodies receive oxygen from the atmosphere and from aquatic plants. Running water, such as that of a swift moving stream, dissolves more oxygen than the still water of a pond or lake. While each organism has its own DO tolerance range, generally, DO levels less than 5mg/L are considered stressful for fish and levels  less than 3mg/L are too low to support fish. DO levels below 1mg/L are considered hypoxic and usually devoid of life. (Source: EPA. https://www.epa.gov/national-aquatic-resource-surveys/indicators-dissolved-oxygen)",https://www.epa.gov/national-aquatic-resource-surveys/indicators-dissolved-oxygen,,
pH,6.5-9,pH,"pH affects most chemical and biological processes in water. It is one of the most important environmental factors limiting species distributions in aquatic habitats. Different species flourish within different ranges of pH, with the optima for most aquatic organisms falling between pH 6.5-8. Fluctuating pH or sustained pH outside this range physiologically stresses many species and can result in decreased reproduction, decreased growth, disease or death. This can ultimately lead to reduced biological diversity in streams. (Source: EPA. https://www.epa.gov/caddis/ph#:~:text=U.S.%20EPA%20water%20quality%20criteria,range%20of%206.5%20to%209)",https://www.epa.gov/sdwa/drinking-water-regulations-and-contaminants,,
Phosphorus,,,"Phosphorus, like nitrogen, is a critical nutrient required for all life. The most common form of phosphorus used by biological organisms is phosphate (PO4), which plays major roles in the formation of DNA, cellular energy, and cell membranes (and plant cell walls). Phosphorus is a common ingredient in commercial fertilizers. Phosphorus is particularly important as a contributor to freshwater, coastal, and estuarine algal blooms. The EPA does not establish a limit for phosphorus. (Source: Friends of the Kaw. https://kansasriver.org/protect/nutrients-algal-blooms-and-bacteria/nutrient-regulations/#:~:text=Current%20EPA%20regulations%3A&text=The%20EPA%20established%20a%20goal,coagulation%20in%20water%2Dtreatment%20plants)","https://kansasriver.org/protect/nutrients-algal-blooms-and-bacteria/nutrient-regulations/#:~:text=Current%20EPA%20regulations%3A&text=The%20EPA%20established%20a%20goal,coagulation%20in%20water%2Dtreatment%20plants.",,                                   
Selenium,0.05,mg/L,"Selenium comes from the discharge of petroleum refineries, the erosion of natural deposits, and discharge from mines. It can cause hair or fingernail loss, numbness in fingers or toes, and circulation problems. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Sodium,20,mg/L,"For individuals on a very low sodium diet (500 mg/day), EPA recommends that drinking-water sodium not exceed 20 mg/L. In order to avoid adverse effects on taste, EPA recommends that sodium concentrations in drinking water not exceed 30 to 60 mg/L, a threshold for taste-sensitive segments of the population. (Source: EPA. https://www.epa.gov/sites/default/files/2014-09/documents/support_cc1_sodium_dwreport.pdf)",https://www.epa.gov/sites/default/files/2014-09/documents/support_cc1_sodium_dwreport.pdf,,
Specific conductance,,,"Conductivity is a measure of the ability of water to pass an electrical current. Because dissolved salts and other inorganic chemicals conduct electrical current, conductivity increases as salinity increases. Significant changes (usually increases) in conductivity may indicate that a discharge or some other source of disturbance has decreased the relative condition or health of the water body and its associated biota. The EPA does not currently set a limit for conductivity. (Source: EPA. https://www.epa.gov/national-aquatic-resource-surveys/indicators-conductivity)",https://www.epa.gov/national-aquatic-resource-surveys/indicators-conductivity,,
Strontium,4,mg/L,"Rocks, soil, dust, coal, oil, surface and underground water, air, plants, and animals all contain varying amounts of strontium. There are no harmful effects of stable strontium in humans at the levels typically found in the environment. The EPA recommends that drinking water levels of stable strontium should not be more than 4 milligrams per liter of water. (Source: CDC. https://wwwn.cdc.gov/TSP/PHS/PHS.aspx?phsid=654&toxid=120#:~:text=EPA%20recommends%20that%20drinking%20water,(4%20mg%2FL))","https://wwwn.cdc.gov/TSP/PHS/PHS.aspx?phsid=654&toxid=120#:~:text=EPA%20recommends%20that%20drinking%20water,(4%20mg%2FL).",,
Sulfate,250,mg/L,"Sulfates are naturally occurring substances that are found in minerals, soil, and rocks. They are present in ambient air, groundwater, plants, and food. Sulfates are discharged into water in industrial wastes and through
atmospheric deposition. (Source: EPA. https://www.epa.gov/sites/default/files/2014-09/documents/support_cc1_sulfate_healtheffects.pdf)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
"Temperature, water",,,"Water temperature influences the majority of physical, biological, chemical, and ecosystem processes in aquatic environments. Altered stream temperature is a significant cause of water quality impairment in the U.S. and influences other water quality parameters. Measuring temperature helps to understand the magnitude and variability of temperature fluctuations and anticipate the consequences for water quality and ecosystem health. (Source: EPA. https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_temperature.pdf)",https://www.epa.gov/system/files/documents/2021-07/parameter-factsheet_temperature.pdf,,
Total dissolved solids,500,ml/L,"Total dissolved solids means the total dissolved (filterable) solids present in a fluid as determined by use of the method specified in Title 40 of the Code of Federal Regulations (40 CFR) Part 136. UIC regulations protect water which has less than 10,000 milligrams per liter (mg/l) total dissolved solids. To put this value into perspective, most drinking water averages between 200 and 300 milligrams per liter total dissolved solids and water with TDS greater than 500 milligrams per liter is not recommended for human consumption. Therefore 10,000 mg/l is a very conservative value. (Source: EPA. https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
Turbidity,1,Nephelometric Turbidity Unit (NTU),"Turbidity comes from soil runoff. It is a measure of the cloudiness of the water and is used to indicate water quality and filtration effectiveness. Higher turbidity levels are often associated with higher levels of disease-causing microorganisms such as viruses, parasites and some bacteria. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five)",https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Uranium,0.03,mg/L,Uranium comes from the erosion of natural deposits. It causes an increased risk of cancer and kidney toxicity. (Source: EPA. https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five),https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations#five,,
Zink,5,mg/L,"Zinc occurs in small amounts in almost all igneous rocks. Zinc is used in the production of corrosion-resistant alloys and brass, and for galvanizing steel and iron
products. (Source: WHO. https://cdn.who.int/media/docs/default-source/wash-documents/wash-chemicals/zinc.pdf?sfvrsn=9529d066_4)",https://www.epa.gov/sites/default/files/2016-06/documents/npwdr_complete_table.pdf,,
